country_name,ep_start,ep_end,outcome_label,prch_label,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precise_end_date,precipitating_event,consequential_events,description,confidence,source_url
Belarus,1994,2001,Democratic breakdown,Yes,Executive coup,Executive aggrandizement,May 1995,November 1996,"The May 14, 1995 referendum granted President Lukashenko power to dissolve parliament for constitutional violations plus closer Russia ties, in a vote the OSCE found ""violated international standards.""","A second November 1996 referendum gave Lukashenko's decrees force of law, extended his term to 2001, and replaced the elected Supreme Soviet with a loyalist House of Representatives; the 2001 election, won amid OSCE findings the environment was ""not democratic,"" cemented control.","Lukashenko used successive referenda to strip the elected parliament of power and concentrate authority in the presidency, completing the transformation of a young post-Soviet democracy into personalist authoritarian rule.",High,https://en.wikipedia.org/wiki/1996_Belarusian_referendum
Republic of the Congo,1994,1998,Autocracy deepening,No,Open-ended coup,NA,June 1997,October 1997,"President Lissouba ordered his Cocoye militia to detain rival Sassou Nguesso and disarm his Cobra militia on June 5, 1997, fearing a coup, triggering civil war between the two factions.","With Angolan troops intervening on Sassou's behalf, Cobra militia forces took Brazzaville by October 16, 1997, and Sassou Nguesso declared himself president, ousting the elected Lissouba government by force.","Congo's elected government was violently overthrown when Sassou Nguesso's Cobra militia, backed by Angolan military intervention, seized Brazzaville and installed Sassou as president.",High,https://en.wikipedia.org/wiki/Republic_of_the_Congo_Civil_War_(1997-1999)
Lesotho,1994,1995,Democratic breakdown,Yes,Open-ended coup,NA,"August 17, 1994","September 14, 1994","On August 17, 1994, King Letsie III, backed by military elements, staged a coup that suspended Parliament and installed an interim ruling council, ousting Ntsu Mokhehle's elected BCP government, demanding reinstatement of his father as head of state.","Under domestic protest and SADC mediation pressure, Letsie III reinstated Mokhehle's elected government on September 14, 1994; a negotiated settlement led Letsie III to abdicate in 1995 in favor of his father.",King Letsie III and allied officers staged a month-long coup to press for his father's reinstatement as monarch; domestic and SADC pressure forced restoration of the elected government within a month.,High,https://en.wikipedia.org/wiki/History_of_Lesotho
Niger,1996,1996,Democratic breakdown,Yes,Promissory coup,Strategic harassment,"January 27, 1996",November 1996,"On January 27, 1996, Colonel Ibrahim Bare Mainassara led a military coup in Niamey that deposed Niger's first democratically elected president, Mahamane Ousmane, and arrested PM Hama Amadou.","The junta reauthorized political parties and promised elections; Bare Mainassara nonetheless dissolved the independent National Electoral Commission to secure victory in the July 1996 election, and opposition boycotted the November 1996 legislative elections over the fraud.","Bare Mainassara's coup ousted Niger's elected president but was framed as a corrective intervention with a promise of prompt elections; those elections were then manipulated, turning a promissory coup into entrenched personal rule.",High,https://en.wikipedia.org/wiki/1996_Nigerien_coup_d'etat
Nicaragua,1996,2025,Democratic breakdown,Yes,Executive aggrandizement,Strategic harassment,January 2000,Ongoing,"The Ortega-Aleman Pact, sealed January 2000 between FSLN leader Daniel Ortega and Liberal President Arnoldo Aleman, split control of the Supreme Court, Comptroller General, and Supreme Electoral Council between their two parties and lowered the winning threshold for president, entrenching a two-party duopoly.","After regaining the presidency in 2007, Ortega used a 2009 Supreme Court ruling and a 2014 constitutional amendment to abolish presidential term limits; his forces killed over 300 protesters in 2018, and in February 2025 a reform installed his wife as co-president.","Ortega engineered a pact with Aleman to divide control of Nicaragua's courts and electoral institutions, laying groundwork for his 2006 comeback; once back in office he eliminated term limits, packed institutions, and violently suppressed protests, culminating in his wife's 2025 installation as co-president.",High,https://en.wikipedia.org/wiki/Daniel_Ortega
Madagascar,1997,2002,Democratic breakdown,Yes,Election-day fraud,Strategic harassment,December 2001,July 2002,"In the December 16, 2001 presidential election, the Ratsiraka-controlled electoral apparatus certified a count showing challenger Marc Ravalomanana with only 46%, a result disputed as manipulated to force a runoff Ratsiraka could contest from a stronger patronage position.","After months of parallel governments and regional blockades, Ratsiraka fled to the Seychelles on July 5, 2002, and Ravalomanana's forces took the last stronghold of Toamasina, ending the crisis with Ravalomanana recognized as president.","Ratsiraka's patronage-based authoritarian rule continued through a disputed December 2001 election whose official count denied Ravalomanana an outright majority, triggering a six-month constitutional crisis before Ratsiraka fled the country.",High,https://en.wikipedia.org/wiki/2002_Malagasy_political_crisis
Ukraine,1997,2000,Democratic breakdown,Yes,Executive aggrandizement,Election-day fraud,October 1999,April 2000,"President Leonid Kuchma's re-election in the October-November 1999 contest against Communist leader Petro Symonenko was marred by documented electoral fraud, using administrative resources and slanted media coverage to secure a second term.","Kuchma followed his re-election with an April 2000 constitutional referendum to grant himself power to dissolve parliament, passed amid further documented fraud, but the Verkhovna Rada refused to implement the changes.",Kuchma used a fraud-marred 1999 re-election and manipulated 2000 referendum to try to expand presidential power at parliament's expense; parliament's refusal to implement the results checked full consolidation.,Medium,https://en.wikipedia.org/wiki/Leonid_Kuchma
Moldova,1998,2006,Democratic breakdown,Yes,Strategic harassment,Executive aggrandizement,April 2001,2006,"The February 2001 election gave the Party of Communists a two-thirds supermajority, and on April 4, 2001 parliament elected PCRM leader Vladimir Voronin president, concentrating both a constitutional supermajority and the presidency in one party for the first time since independence.","PCRM used its dominance of state media and administrative resources through the 2005 election cycle, entrenching one-party dominance even as Voronin pursued a pro-EU pivot after 2003.","The Communist Party's growth to an outright constitutional supermajority concentrated unprecedented power in a single party controlling both the presidency and parliament, entrenched through continued state-media dominance.",Medium,https://en.wikipedia.org/wiki/Vladimir_Voronin
Solomon Islands,1998,2001,Democratic breakdown,Yes,Open-ended coup,NA,June 2000,July 2001,"On June 5, 2000, the Malaita Eagle Force militia, backed by elements of the police, staged an armed coup, seizing PM Bartholomew Ulufa'alu at gunpoint and forcing his resignation.","Parliament installed Manasseh Sogavare as PM on June 30, 2000; the Townsville Peace Agreement (October 2000) granted amnesty and mandated disarmament, completed by mid-2001.",Ethnic tension culminated in a June 2000 coup in which a militia forced out elected PM Ulufa'alu at gunpoint; parliament replaced him under duress before a peace agreement began disarmament.,High,https://en.wikipedia.org/wiki/2000_Solomon_Islands_coup_d'etat
Venezuela,1998,2018,Democratic breakdown,Yes,Executive aggrandizement,Strategic harassment,April 1999,May 2018,"Following Chavez's December 1998 election win, an April 1999 referendum approved a Constituent Assembly; the July 1999 assembly election gave Chavez's coalition a near-total supermajority, letting it unilaterally rewrite the constitution, ratified in a December 1999 referendum.","After two decades of enabling-act decree powers, court-packing, and an unconstitutional 2017 Constituent Assembly, the May 20, 2018 election, held on a truncated timeline with major opposition barred, gave Maduro 67.85% on 46% turnout and was rejected as fraudulent internationally.","Chavez converted his 1998 win into unchecked power via a 1999 Constituent Assembly rewriting the constitution, then over two decades used patronage, court-packing, and electoral manipulation to erode checks, culminating under Maduro's fraud-marred 2018 re-election.",High,https://en.wikipedia.org/wiki/Hugo_Chavez
Comoros,1999,2000,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,"April 30, 1999",April 2000,"On 30 April 1999, Colonel Azali Assoumani led a bloodless military coup that ousted interim President Tadjidine Ben Said Massounde, suspending the constitution amid the Anjouan secession crisis.","Azali adopted a new ""Fundamental Act"" in May 1999 concentrating power in himself; he retained power past his pledged April 2000 deadline, continuing military-dominated rule through 2000.","Comoran army chief Azali seized power in a coup amid Anjouan secession violence, suspended the constitution, and concentrated power in himself, deepening the country's already-autocratic trajectory.",High,https://en.wikipedia.org/wiki/1999_Comorian_coup_d'etat
Malawi,1999,2005,Democratic breakdown,Yes,Executive aggrandizement,Strategic harassment,2002,February 2005,"In 2002 President Bakili Muluzi and UDF allies pushed the ""Open Terms Bill"" to abolish presidential term limits so Muluzi could seek a third term, backed by state patronage and UDF dominance of campaign resources.","The bill was defeated in 2002-2003 amid protests; Muluzi then handpicked Bingu wa Mutharika as UDF successor, who won the disputed 2004 election, before breaking from UDF in February 2005 to found the DPP, personalizing power.","Muluzi sought UDF/executive dominance via a failed 2002 third-term bid; though blocked, he engineered the succession of Mutharika via the contested 2004 election, whose subsequent break from UDF left executive power personalized.",Medium,https://en.wikipedia.org/wiki/Bakili_Muluzi
Niger,1999,1999,Autocracy deepening,No,Promissory coup,Open-ended coup,"April 9, 1999",December 1999,"President Ibrahim Bare Mainassara (himself a 1996 coup leader) was assassinated by his own Presidential Guard on 9 April 1999; Major Daouda Malam Wanke then seized power heading a military ""National Reconciliation Council.""","Wanke's junta adopted a new constitution in July 1999 and organized elections in October-November 1999, won by Mamadou Tandja; the junta transferred power to the elected civilian government by December 1999.",Niger's autocratic presidency was thrown into brief further deepening after Bare Mainassara's assassination; the military council promised a swift return to elected government and delivered by year's end.,High,https://en.wikipedia.org/wiki/Ibrahim_Bare_Mainassara
Pakistan,1999,2000,Autocracy deepening,No,Open-ended coup,Promissory coup,"October 12, 1999",Ongoing,"On 12 October 1999, Army Chief Gen. Pervez Musharraf staged a bloodless coup after PM Nawaz Sharif tried to dismiss him while abroad; troops seized key institutions within 17 hours.","Musharraf declared a state of emergency on 14 October 1999 and issued a Provisional Constitutional Order suspending the constitution; the Supreme Court validated the takeover under the ""doctrine of necessity"" in 2000, granting a three-year window.","Musharraf's coup ousted PM Sharif after Sharif tried to fire him, suspending the constitution; courts granted him three years to hold elections, but he entrenched his rule for nearly a decade.",High,https://en.wikipedia.org/wiki/1999_Pakistani_coup_d'etat
Ivory Coast,2000,2000,Autocracy deepening,No,Promissory coup,Election-day fraud,"December 24, 1999","October 26, 2000","On 24 December 1999, mutinying soldiers seized Abidjan's airport and ousted President Henri Konan Bedie; retired General Robert Guei was installed as head of a National Public Salvation Committee and publicly promised democracy would be respected.","The junta's constitution excluded opposition leader Alassane Ouattara from the presidential race; Guei tried to declare himself winner of the flawed October 2000 election, but a popular uprising forced him out and installed Laurent Gbagbo, inaugurated 26 October 2000.","A December 1999 coup ousted President Bedie amid promises to restore democracy, but the transition was compromised by exclusionary rules and Guei's attempt to falsify the 2000 election result, only overturned by street protests.",High,https://en.wikipedia.org/wiki/1999_Ivorian_coup_d'etat
Fiji,2000,2001,Democratic breakdown,Yes,Open-ended coup,Promissory coup,"May 19, 2000",September 2001,"On 19 May 2000, businessman George Speight, backed by the army's Counter Revolutionary Warfare Unit, stormed Fiji's Parliament and took PM Mahendra Chaudhry's government hostage, declaring himself interim president.","Military commander Frank Bainimarama declared martial law after President Mara resigned; hostages were released via the Muanikau Accord, courts ruled the interim government illegal in November 2000, and elections were held in 2001, bringing Laisenia Qarase to power.","George Speight's armed takeover of parliament ousted Indo-Fijian PM Chaudhry; the military ultimately deposed Speight, restored order, and organized new 2001 elections, but the coup marked a decisive break along ethnic lines.",High,https://en.wikipedia.org/wiki/2000_Fijian_coup_d'etat
North Macedonia,2000,2001,Autocracy deepening,No,Other/unclear,Executive aggrandizement,November 2000,August 2001,"Armed ethnic-Albanian NLA attacks on police/border posts began in late 2000, escalating on January 22, 2001 when NLA fighters attacked a police station near Tetovo, marking the start of the insurgency.","The General Ceasefire Agreement (July 2001) demilitarized conflict zones, and the Ohrid Framework Agreement (August 13, 2001) ended large-scale fighting via power-sharing and decentralization reforms.",An ethnic-Albanian insurgency escalated into open conflict; PM Georgievski's government considered declaring a state of war for emergency powers before the crisis was resolved via the Ohrid Agreement. This is primarily an ethnic civil conflict rather than an executive power grab.,Low,https://en.wikipedia.org/wiki/2001_insurgency_in_the_Republic_of_Macedonia
Nepal,2000,2003,Autocracy deepening,No,Executive aggrandizement,Open-ended coup,"October 4, 2002",2003,"King Gyanendra dismissed elected PM Sher Bahadur Deuba, dissolved his government, and indefinitely postponed elections Deuba had called for, invoking royal reserve powers amid the Maoist civil war.","The King directly appointed and dismissed a succession of prime ministers without elections, entrenching personal royal control that set the stage for his outright 2005 coup.","King Gyanendra, who ascended after the 2001 royal massacre, used the Maoist insurgency as pretext to sack PM Deuba and rule through royally-appointed premiers rather than an elected government.",Medium,https://en.wikipedia.org/wiki/Gyanendra
Haiti,2001,2004,Autocracy deepening,No,Strategic harassment,Election-day fraud,February 2001,"February 29, 2004","Jean-Bertrand Aristide was inaugurated to a second term in February 2001 following flawed May 2000 elections and an opposition boycott of the November 2000 presidential race; his government ruled with no meaningful opposition, backed by armed pro-government gangs.","An armed rebellion seized Gonaives and advanced on Port-au-Prince; on February 29, 2004 US officials escorted Aristide out of the country, ending his presidency with an interim government installed.","Aristide's government, whose legitimacy was clouded by disputed 2000 elections, entrenched one-party dominance and used violence against opposition; a rebel uprising in 2004 forced his ouster.",Medium,https://en.wikipedia.org/wiki/2004_Haitian_coup_d'etat
Philippines,2001,2005,Democratic breakdown,Yes,Election-day fraud,Executive aggrandizement,May 2004,"September 6, 2005","During vote canvassing for the May 2004 election, President Gloria Macapagal Arroyo allegedly held wiretapped conversations discussing manipulation of returns to secure her win, revealed publicly in mid-2005 as the ""Hello Garci"" scandal.","A House impeachment complaint against Arroyo was blocked on September 6, 2005 by her coalition-dominated House despite polls showing most Filipinos believed she cheated, allowing her to consolidate power.","Arroyo, who assumed the presidency via the 2001 EDSA II ouster of Estrada, was accused of rigging her 2004 re-election through the ""Hello Garci"" scandal; her allies blocked impeachment, cementing an unaccountable executive.",Medium,https://en.wikipedia.org/wiki/Hello_Garci_scandal
Bangladesh,2002,2007,Democratic breakdown,Yes,Strategic harassment,Open-ended coup,"October 16, 2002","January 11, 2007","The BNP government under PM Khaleda Zia launched ""Operation Clean Heart,"" a nationwide crackdown that also targeted political opponents, detaining Awami League leaders, followed by an indemnity ordinance shielding security forces from prosecution.","A dispute over caretaker-government leadership triggered violent unrest and cancellation of the January 2007 election; the military installed Fakhruddin Ahmed's caretaker government under a state of emergency, remaining beyond its constitutional term.","The BNP government pursued harsh crackdowns against opposition figures, with extrajudicial killings shielded by an indemnity law; this chronic harassment culminated in a January 2007 military-backed takeover that suspended the election.",Medium,https://en.wikipedia.org/wiki/Operation_Clean_Heart
Central African Republic,2003,2004,Autocracy deepening,No,Open-ended coup,Promissory coup,"March 15, 2003",December 2004,"General Francois Bozize led fighters to seize Bangui while President Ange-Felix Patasse was abroad; rebels captured the airport and presidential palace with minimal resistance, forcing Patasse into exile.","Bozize proclaimed himself president, suspended the constitution, and formed a transitional ""union government""; a new constitution was approved by referendum in December 2004, leading to elections in 2005 that Bozize won.","Bozize's coup ousted elected President Patasse and suspended the constitution, but was followed by a two-year transitional process (constitution, referendum, elections) rather than indefinite military rule.",Medium,https://en.wikipedia.org/wiki/2003_Central_African_Republic_coup_d'etat
Liberia,2003,2004,Autocracy deepening,No,Other/unclear,NA,August 2003,Late 2004,"President Charles Taylor resigned and went into exile on 11 August 2003 under military pressure from the LURD/MODEL rebel siege of Monrovia; the Accra Comprehensive Peace Agreement was signed about a week later, installing an unelected power-sharing transitional government.","The National Transitional Government of Liberia continued to rule without elections through 2004 while controlling little real territory, with UN peacekeeping/disarmament consolidating ahead of the October 2005 elections.","Liberia's 2003-2004 deepening reflects the chaotic tail end of civil war (Taylor's ouster, a peace deal, and rule by an unelected transitional government) rather than a backsliding-from-democracy dynamic.",Low,https://en.wikipedia.org/wiki/Second_Liberian_Civil_War
Thailand,2003,2007,Democratic breakdown,Yes,Promissory coup,Open-ended coup,19 September 2006,23 December 2007,"On 19 September 2006, while PM Thaksin Shinawatra was in New York, General Sonthi Boonyaratglin led the Royal Thai Army in a coup, suspending the 1997 constitution and dissolving parliament and the Constitutional Court.","The junta installed an interim civilian PM, drafted a new constitution, dissolved Thaksin's party and banned its executives from politics, then held elections as promised on 23 December 2007.","Thailand's military ousted PM Thaksin in a September 2006 coup while abroad, explicitly promising a swift return to civilian rule; the junta delivered on its promise, holding elections in December 2007, though only after banning Thaksin's party.",High,https://en.wikipedia.org/wiki/2006_Thai_coup_d'etat
Bosnia and Herzegovina,2004,2007,Democratic erosion,Yes,Other/unclear,Executive aggrandizement,June 2004,2007,"In June 2004, High Representative Paddy Ashdown used internationally granted ""Bonn Powers"" to dismiss 58 Bosnian public officials in a single day, an unelected international administrator overriding elected domestic institutions.","The US-brokered ""April Package"" constitutional reform failed in the House of Representatives by two votes in April 2006; the October 2006 election brought Milorad Dodik's SNSD to power in Republika Srpska on a platform resistant to further centralization.","Bosnia's erosion reflects continued heavy-handed international ""protectorate"" governance displacing domestic democratic accountability, alongside the failure of constitutional reform and the rise of nationalist leader Dodik.",Low,https://en.wikipedia.org/wiki/Office_of_the_High_Representative
Sri Lanka,2004,2006,Democratic breakdown,Yes,Executive aggrandizement,NA,November 2005,July 2006,"Mahinda Rajapaksa narrowly won the 17 November 2005 presidential election, aided by an LTTE-enforced boycott suppressing Tamil votes likely favoring his rival; Rajapaksa then allied with Sinhalese nationalist parties opposed to devolution and the peace process.","On 21 July 2006 the LTTE closed the Mavil Aru reservoir; the Sri Lankan military responded with an offensive, collapsing the 2002 ceasefire and returning the country to full-scale civil war, cementing war-footing centralization of power.","President Rajapaksa reversed the peace process after his contested 2005 election, allying with hardline nationalists; the LTTE's 2006 reservoir closure triggered renewed war, entrenching executive and military authority.",Medium,https://en.wikipedia.org/wiki/Mahinda_Rajapaksa
North Macedonia,2005,2012,Democratic breakdown,Yes,Strategic harassment,Executive aggrandizement,2005,2012,"Macedonia's 2005 local elections were marred by irregularities per international observers; the 5 July 2006 parliamentary election, won by Nikola Gruevski's VMRO-DPMNE coalition, began consolidating media and security-sector control.","By the early 2010s, after consecutive VMRO-DPMNE wins (2006, 2008, 2011), independent media access had shrunk sharply and Gruevski had installed loyalists atop the intelligence service, cementing one-party institutional capture.","Gruevski's party won a disputed-adjacent 2006 election after irregularity-marred 2005 local elections, using consecutive victories through 2011 to tilt media, pack security institutions, and marginalize opposition.",Medium,https://en.wikipedia.org/wiki/Nikola_Gruevski
Türkiye,2005,2017,Democratic breakdown,Yes,Executive aggrandizement,Strategic harassment,October 2007,16 April 2017,"A 2007 military ""e-memorandum"" opposed AKP's presidential candidate, precipitating a snap election AKP won; on 21 October 2007 voters approved a referendum shifting presidential selection to direct popular vote, the first legal step in Erdogan's consolidation.","After the failed 15 July 2016 coup attempt, a state of emergency enabled mass dismissals of judges, officers, and civil servants; the 16 April 2017 referendum replaced the parliamentary system with an executive presidency.","Erdogan's AKP incrementally dismantled institutional checks through legal, referendum-based channels; the failed 2016 coup triggered mass purges, and the 2017 referendum formally converted Turkey to a presidential system concentrating power in Erdogan.",High,https://en.wikipedia.org/wiki/Recep_Tayyip_Erdogan
Bolivia,2006,2020,Democratic breakdown,Yes,Executive aggrandizement,Election-day fraud,January 2009,October 2020,"In January 2009 Bolivians approved a new constitution establishing a centralized ""plurinational state""; Morales later moved to eliminate term limits, culminating in a November 2017 Constitutional Tribunal ruling permitting unlimited reelection despite a 2016 referendum rejecting this.","Morales resigned November 2019 amid a disputed election that an OAS audit found showed ""sufficient evidence of election fraud""; Senator Jeanine Anez assumed the presidency without quorum, and elections were finally held October 2020.","Morales concentrated executive power through a 2009 constitution and a 2017 Tribunal ruling overturning a 2016 anti-reelection referendum; his disputed 2019 re-election, found fraudulent by the OAS, triggered his resignation and an unelected interim government.",Medium,https://en.wikipedia.org/wiki/Evo_Morales
Fiji,2006,2007,Autocracy deepening,No,Open-ended coup,NA,December 2006,January 2007,"On 5 December 2006, military forces led by Commodore Frank Bainimarama seized government buildings and placed ministers of PM Laisenia Qarase's government under house arrest, ousting the elected government.","President Iloilo, reinstated January 2007, formally appointed Bainimarama as interim prime minister, installing a military-backed government that indefinitely postponed elections until 2014.","Bainimarama led Fiji's fourth coup since 1987, ousting elected PM Qarase over alleged corruption; the military installed an interim government and elections were delayed for eight years.",High,https://en.wikipedia.org/wiki/2006_Fijian_coup_d'etat
Honduras,2006,2010,Democratic breakdown,Yes,Promissory coup,Open-ended coup,June 2009,January 2010,"Acting on a sealed Supreme Court arrest warrant over President Manuel Zelaya's push for a referendum on a constitutional assembly, soldiers stormed the presidential residence on 28 June 2009, detained Zelaya, and flew him into exile.",Congress installed its president Roberto Micheletti as interim leader and allowed the previously scheduled November 2009 elections to proceed; Porfirio Lobo won and was inaugurated January 2010.,"Honduras's Supreme Court and Congress, backed by the military, removed elected President Zelaya after he defied a court order barring a referendum; framed as defense of legality with a promise to hold elections, the episode concluded with Lobo's 2010 inauguration.",High,https://en.wikipedia.org/wiki/2009_Honduran_coup_d'etat
Hungary,2006,2025,Democratic breakdown,Yes,Executive aggrandizement,Strategic harassment,April 2010,Ongoing,"In the April 2010 election, Viktor Orban's Fidesz won a two-thirds supermajority, used to draft a new Fundamental Law behind closed doors, debated for only nine days and passed on a party-line vote; the constitution took effect 1 January 2012.","Over the following decade Fidesz redrew electoral districts, installed loyalists on media and courts, and transferred control of state universities to Orban-aligned foundations; Orban's 16-year rule ended when Fidesz lost the April 2026 election.","After winning a two-thirds supermajority, Orban's government rewrote Hungary's constitution and systematically weakened judicial independence, media pluralism, and electoral fairness through ostensibly legal institutional changes over more than a decade.",High,https://en.wikipedia.org/wiki/Viktor_Orban
Palestine/West Bank,2006,2008,Democratic breakdown,Yes,Executive coup,Executive aggrandizement,June 2007,Ongoing,"After Hamas's forcible takeover of Gaza in June 2007, President Mahmoud Abbas declared a state of emergency on 14 June 2007, dissolved the Hamas-led unity government, and installed Salam Fayyad as PM by decree, bypassing the Hamas-majority legislature.",The Fayyad emergency government continued ruling the West Bank by decree with the legislature no longer functioning; Abbas's presidential term was extended without new elections.,"Hamas won the 2006 legislative election, but conflict with Fatah culminated in Hamas's 2007 Gaza takeover; Abbas dissolved the unity government and ruled the West Bank through an emergency decree-appointed government.",Medium,https://en.wikipedia.org/wiki/2006_Palestinian_legislative_election
Ecuador,2007,2013,Democratic erosion,Yes,Executive aggrandizement,Strategic harassment,September 2007,February 2013,Constituent Assembly elections held 30 September 2007 gave Rafael Correa's PAIS Alliance a large majority; when the Assembly convened in November 2007 it assumed plenary powers superseding the sitting opposition-controlled Congress.,"Ecuadorians approved a new constitution in a September 2008 referendum expanding presidential decree powers, after Congress had already voted to remove all nine Constitutional Court judges; Correa was re-elected by landslide in 2013.","Correa used a 2007 Constituent Assembly, which bypassed the existing opposition-controlled Congress, to produce a 2008 constitution substantially expanding presidential powers, driving significant executive-driven erosion without full collapse.",High,https://en.wikipedia.org/wiki/Rafael_Correa
Papua New Guinea,2007,2013,Democratic breakdown,Yes,Executive aggrandizement,Open-ended coup,August 2011,August 2012,"While PM Michael Somare was hospitalized abroad, Parliament declared his office vacant in August 2011 and elected Peter O'Neill prime minister, triggering a dispute over who legitimately held executive power.","After the Supreme Court twice ruled Somare remained the lawful PM, the O'Neill government defied the rulings, had the Chief Justice arrested on sedition charges, and survived a January 2012 mutiny attempt; the crisis was settled by the 2012 general election.","PNG's 2011-2012 constitutional crisis pitted a parliament-installed PM against the courts and the removed incumbent, with O'Neill repeatedly defying Supreme Court orders before the dispute was resolved by the ballot box in 2012.",Medium,https://en.wikipedia.org/wiki/2011-2012_Papua_New_Guinean_constitutional_crisis
South Korea,2008,2014,Democratic erosion,Yes,Strategic harassment,NA,December 2012,2014,"In the run-up to the 19 December 2012 election, National Intelligence Service agents covertly posted online comments and coordinated conservative civic groups to boost ruling-party candidate Park Geun-hye and disparage rival Moon Jae-in.","A prosecutorial raid on NIS headquarters led to the indictment of NIS director Won Sei-hoon and Seoul's police chief for election interference, but Won's conviction came long after Park had already taken office.","South Korea's intelligence service illegally intervened in the 2012 presidential election to help the ruling-party candidate via covert online manipulation, revealing significant erosion in electoral fairness without a full authoritarian breakdown.",Medium,https://en.wikipedia.org/wiki/2012_NIS_public_opinion_manipulation_scandal
Mali,2008,2013,Democratic breakdown,Yes,Promissory coup,Open-ended coup,21 March 2012,August 2013,"On 21 March 2012, mutinying soldiers led by Captain Amadou Sanogo, angered by the government's handling of the Tuareg rebellion, stormed the presidential palace and seized power.","President Amadou Toumani Toure resigned 8 April 2012; the junta transferred power to interim civilian leadership, and after a French-backed military intervention, Ibrahim Boubacar Keita won the July-August 2013 election.",A mutiny over resourcing for the war against Tuareg rebels toppled elected president Toure; the junta promised to restore constitutional order and eventually ceded power to a transitional government before 2013 elections.,High,https://en.wikipedia.org/wiki/2012_Malian_coup_d'etat
Indonesia,2009,2025,Democratic breakdown,Yes,Executive aggrandizement,Strategic harassment,September 2019,October 2024,"On 17 September 2019, Indonesia's parliament, with President Jokowi's backing, passed a hastily deliberated revision to the KPK law that stripped the Corruption Eradication Commission of independent investigative authority.","In October 2023, the Constitutional Court chaired by Jokowi's brother-in-law carved out an age-limit exception letting Jokowi's son Gibran run for vice president; Prabowo-Gibran won the February 2024 election and were inaugurated October 2024.","Starting with the 2019 gutting of the KPK's independence and culminating in the 2023 court ruling clearing the way for Jokowi's son to become vice president, Indonesia's checking institutions were progressively hollowed out through nominally legal channels.",Medium,https://en.wikipedia.org/wiki/Corruption_Eradication_Commission
India,2009,2025,Democratic breakdown,Yes,Executive aggrandizement,Strategic harassment,May 2014,Ongoing,"Narendra Modi's BJP won an outright parliamentary majority in May 2014, beginning a trajectory that, especially after 2019 re-election, saw sedition/anti-terror laws and agencies increasingly deployed against opposition figures amid a reshaped pro-government media landscape.","The August 2019 revocation of Jammu and Kashmir's special autonomy, and the 2018 Electoral Bonds funding scheme (struck down by the Supreme Court in February 2024), were landmark aggrandizing moves; V-Dem downgraded India to ""electoral autocracy"" in 2021.","Under Modi, India's elected executive progressively weakened checks through ostensibly legal means -- the Article 370 abrogation, capture of referee institutions, and opaque political financing -- ranking India among the most significant recent autocratizers.",Medium,https://en.wikipedia.org/wiki/Democratic_backsliding_in_India
Madagascar,2009,2010,Autocracy deepening,No,Open-ended coup,Promissory coup,March 2009,March 2010,"After weeks of opposition protests led by Antananarivo mayor Andry Rajoelina against President Marc Ravalomanana, the military stormed the presidential palace on 16 March 2009 and forced Ravalomanana to hand power to a military directorate, which transferred it to Rajoelina.","Rajoelina was sworn in as president of a High Transitional Authority on 21 March 2009; the African Union suspended Madagascar and called the takeover an ""attempted coup,"" and promised elections were repeatedly delayed until 2013.","A months-long uprising culminated in the military forcing Ravalomanana from office and installing Rajoelina; internationally treated as an unconstitutional coup, the resulting transitional authority further entrenched autocratic rule.",High,https://en.wikipedia.org/wiki/2009_Malagasy_political_crisis
Niger,2009,2010,Democratic breakdown,Yes,Executive aggrandizement,Promissory coup,June 2009,February 2010,"On 20 June 2009, President Mamadou Tandja assumed ""special powers"" and pushed through an illegal constitutional referendum removing presidential term limits, after the Constitutional Court ruled the referendum illegal and he dissolved the National Assembly.","On 18 February 2010, a military junta led by Col. Salou Djibo ousted Tandja; the junta publicly promised elections and restored civilian democratic rule, culminating in Mahamadou Issoufou's March 2011 inauguration.","President Tandja attempted to extend his rule past term limits via an illegitimate referendum, prompting a February 2010 military coup; the coup leaders explicitly promised a return to elected government and delivered within a year.",High,https://en.wikipedia.org/wiki/2010_Nigerien_coup_d'etat
Burundi,2010,2016,Autocracy deepening,No,Executive aggrandizement,Strategic harassment,July 2010,July 2015,"In the July 2010 election, Pierre Nkurunziza ran unopposed after opposition parties boycotted the vote citing fraud in preceding communal elections, cementing CNDD-FDD's uncontested dominance.","After Nkurunziza announced a third-term bid in April 2015, validated by the Constitutional Court despite Arusha Accords term limits, a failed May 2015 military coup was followed by a violent crackdown; Nkurunziza won a boycotted July 2015 election.","Burundi's already non-democratic regime deepened as CNDD-FDD entrenched one-party dominance via an uncontested 2010 election, then Nkurunziza's legally-engineered third term triggered mass protests and severe repression eliminating remaining competition.",Medium,https://en.wikipedia.org/wiki/Pierre_Nkurunziza
